table_index,row_index,scraped_at,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,time,player1,player2,score,tournament,round,source_url,source_page
0,41,2025-08-25 14:58:54,13:10,Sanchez Izquierdo N.,2,6,6,,,,3.03,1.34,13:10,Sanchez Izquierdo N.,,,,,https://www.tennisexplorer.com/results/,results
0,42,2025-08-25 14:58:54,13:10,Seyboth Wild T.(1),0,2,4,,,,,,13:10,,,,,,https://www.tennisexplorer.com/results/,results
0,43,2025-08-25 14:58:54,14:40,Bailly G.,2,6,6,,,,3.03,1.34,14:40,Bailly G.,,,,,https://www.tennisexplorer.com/results/,results
0,44,2025-08-25 14:58:54,14:40,Mrva M.,0,1,2,,,,,,14:40,Mrva M.,,,,,https://www.tennisexplorer.com/results/,results
0,45,2025-08-25 14:58:54,15:10,Dodig M.,2,2,6,6,,,1.50,2.44,15:10,Dodig M.,,,,,https://www.tennisexplorer.com/results/,results
0,46,2025-08-25 14:58:54,15:10,Pereira T.,1,6,4,4,,,,,15:10,Pereira T.,,,,,https://www.tennisexplorer.com/results/,results
0,47,2025-08-25 14:58:54,16:05,Alvarez Varona N.,2,6,6,,,,1.50,2.44,16:05,Alvarez Varona N.,,,,,https://www.tennisexplorer.com/results/,results
0,48,2025-08-25 14:58:54,16:05,Strombachs R.,0,0,2,,,,,,16:05,Strombachs R.,,,,,https://www.tennisexplorer.com/results/,results
0,49,2025-08-25 14:58:54,16:30,Olivieri G.(7),2,6,6,,,,1.27,3.51,16:30,,,,,,https://www.tennisexplorer.com/results/,results
0,50,2025-08-25 14:58:54,16:30,Hernandez Serrano J.,0,4,2,,,,,,16:30,Hernandez Serrano J.,,,,,https://www.tennisexplorer.com/results/,results
0,51,2025-08-25 14:58:54,17:15,Barrena A.(4),2,6,6,,,,1.27,3.51,17:15,,,,,,https://www.tennisexplorer.com/results/,results
0,52,2025-08-25 14:58:54,17:15,Negritu C.,0,4,4,,,,,,17:15,Negritu C.,,,,,https://www.tennisexplorer.com/results/,results
0,53,2025-08-25 14:58:54,17:45,Araujo P.,2,5,6,7,,,4.97,1.15,17:45,Araujo P.,,,,,https://www.tennisexplorer.com/results/,results
0,54,2025-08-25 14:58:54,17:45,Ymer E.(5),1,7,4,5,,,,,17:45,,,,,,https://www.tennisexplorer.com/results/,results
0,55,2025-08-25 14:58:54,Futures 2025,S,1,2,3,4,5,H,4.97,1.15,,,,,,,https://www.tennisexplorer.com/results/,results
0,56,2025-08-25 14:58:54,13:30,De Krom M.,1,6,0,,,,1.15,4.90,13:30,De Krom M.,,,,,https://www.tennisexplorer.com/results/,results
0,57,2025-08-25 14:58:54,13:30,Fernandez Canovas A.,0,1,0,,,,,,13:30,Fernandez Canovas A.,,,,,https://www.tennisexplorer.com/results/,results
0,58,2025-08-25 14:58:54,14:00,Juan Mano A.,2,6,6,,,,1.15,4.90,14:00,Juan Mano A.,,,,,https://www.tennisexplorer.com/results/,results
0,59,2025-08-25 14:58:54,14:00,Bobichon M.,0,1,1,,,,,,14:00,Bobichon M.,,,,,https://www.tennisexplorer.com/results/,results
0,60,2025-08-25 14:58:54,14:00,Campana Lee G.,2,6,6,,,,1.05,7.74,14:00,Campana Lee G.,,,,,https://www.tennisexplorer.com/results/,results
0,61,2025-08-25 14:58:54,14:00,Helguera Casado L.,0,1,2,,,,,,14:00,Helguera Casado L.,,,,,https://www.tennisexplorer.com/results/,results
0,62,2025-08-25 14:58:54,16:30,Vives Marcos P.,2,3,7,6,,,1.05,7.74,16:30,Vives Marcos P.,,,,,https://www.tennisexplorer.com/results/,results
0,63,2025-08-25 14:58:54,16:30,Perez Contri S.,1,6,68,2,,,,,16:30,Perez Contri S.,,,,,https://www.tennisexplorer.com/results/,results
0,64,2025-08-25 14:58:54,19:00,Falabella L.,2,7,6,,,,4.48,1.17,19:00,Falabella L.,,,,,https://www.tennisexplorer.com/results/,results
0,65,2025-08-25 14:58:54,19:00,Rodriguez L.,0,66,3,,,,,,19:00,Rodriguez L.,,,,,https://www.tennisexplorer.com/results/,results
0,66,2025-08-25 14:58:54,21:05,La Serna J.,2,6,6,,,,4.48,1.17,21:05,La Serna J.,,,,,https://www.tennisexplorer.com/results/,results
0,67,2025-08-25 14:58:54,21:05,Schachter N.,0,4,4,,,,,,21:05,Schachter N.,,,,,https://www.tennisexplorer.com/results/,results
0,68,2025-08-25 14:58:54,13:00,Beraldo L.,2,6,6,,,,1.89,1.80,13:00,Beraldo L.,,,,,https://www.tennisexplorer.com/results/,results
0,69,2025-08-25 14:58:54,13:00,Ortenzi G.,0,1,1,,,,,,13:00,Ortenzi G.,,,,,https://www.tennisexplorer.com/results/,results
0,70,2025-08-25 14:58:54,13:00,Rapagnetta D.,2,6,6,,,,1.89,1.80,13:00,Rapagnetta D.,,,,,https://www.tennisexplorer.com/results/,results
0,71,2025-08-25 14:58:54,13:00,De Marchi A.,0,2,2,,,,,,13:00,De Marchi A.,,,,,https://www.tennisexplorer.com/results/,results
0,72,2025-08-25 14:58:54,13:00,Bilardo J.,2,6,1,6,,,3.81,1.22,13:00,Bilardo J.,,,,,https://www.tennisexplorer.com/results/,results
0,73,2025-08-25 14:58:54,13:00,Martin Manzano J.,1,4,6,4,,,,,13:00,Martin Manzano J.,,,,,https://www.tennisexplorer.com/results/,results
0,74,2025-08-25 14:58:54,13:00,Comino L.,2,7,6,,,,3.81,1.22,13:00,Comino L.,,,,,https://www.tennisexplorer.com/results/,results
0,75,2025-08-25 14:58:54,13:00,Sciahbasi M.,0,5,1,,,,,,13:00,Sciahbasi M.,,,,,https://www.tennisexplorer.com/results/,results
0,76,2025-08-25 14:58:54,14:30,Oradini G.,2,6,6,,,,1.54,2.34,14:30,Oradini G.,,,,,https://www.tennisexplorer.com/results/,results
0,77,2025-08-25 14:58:54,14:30,Tabacco G.,0,3,3,,,,,,14:30,Tabacco G.,,,,,https://www.tennisexplorer.com/results/,results
0,78,2025-08-25 14:58:54,14:30,Angelini L.,2,7,6,,,,1.54,2.34,14:30,Angelini L.,,,,,https://www.tennisexplorer.com/results/,results
0,79,2025-08-25 14:58:54,14:30,Rossi L.,0,62,4,,,,,,14:30,Rossi L.,,,,,https://www.tennisexplorer.com/results/,results
0,80,2025-08-25 14:58:54,14:30,Rahmani K.,2,7,6,,,,1.37,2.83,14:30,Rahmani K.,,,,,https://www.tennisexplorer.com/results/,results
0,81,2025-08-25 14:58:54,14:30,Malgaroli L.,0,63,3,,,,,,14:30,Malgaroli L.,,,,,https://www.tennisexplorer.com/results/,results
